Category,Item Name,Description,Price,Available
TANDOOR,GONGURA KODI KABAB (GODAVARI SPECIAL),,16.99,TRUE
TANDOOR,CALCUTTA FISH TIKKA,,16.99,TRUE
TANDOOR,SPECIAL PANEER TIKKA,,15.99,TRUE
TANDOOR,KAKINADA SPECIAL FISH (CHEF SPECIAL WHOLE FISH),,16.99,TRUE
TANDOOR,KONASEEMA TANDOOR SAMPLER,,17.99,TRUE
TANDOOR,CHICKEN SEEKH KABAB,,16.99,TRUE
NON - VEG APPETIZERS,CHICKEN 65,,15.99,TRUE
NON - VEG APPETIZERS,CHILLI CHICKEN,,15.99,TRUE
NON - VEG APPETIZERS,RAJU GARI KODI VEPUDU (CASHEWNUT SPECIAL FRY),,15.99,TRUE
NON - VEG APPETIZERS,CHICKEN LOLLIPOP,,15.99,TRUE
NON - VEG APPETIZERS,KINGFISHER SPECIAL WINGS (CHICKEN WINGS FOR BEER),,15.99,TRUE
NON - VEG APPETIZERS,CHICKEN 555,,15.99,TRUE
NON - VEG APPETIZERS,RAYALASEEMA KODI VEPUDU (Chicken Pepper Fry),,15.99,TRUE
NON - VEG APPETIZERS,CHICKEN MANCHURIAN,,15.99,TRUE
NON - VEG APPETIZERS,EGG BONDA,,10.99,TRUE
NON - VEG APPETIZERS,MAMSAM ROAST (SPECIAL GOAT FRY),,19.99,TRUE
NON - VEG APPETIZERS,KONASEEMA FISH VEPUDU ( GODAVARI SPECIAL),,15.99,TRUE
NON - VEG APPETIZERS,GINGER FISH,,15.99,TRUE
NON - VEG APPETIZERS,HYDERABADI TAWA MACHCHLI (FISH SPECIAL),,15.99,TRUE
NON - VEG APPETIZERS,GODAVARI ROYYALA VEPUDU (SPECIAL SHRIMP FRY),,17.99,TRUE
NON - VEG APPETIZERS,PRAWNS 65 (OUR SPECIAL SHRIMP RECIPE),,17.99,TRUE
NON - VEG APPETIZERS,"TOLLYWOOD ""TAWA"" PRAWNS ( GRILLED SHRIMP )",,17.99,TRUE
NON - VEG APPETIZERS,"Chilli ""Chilipi"" Chepa ( Chilli Fish )",,15.99,TRUE
NON - VEG APPETIZERS,Chilli Egg,,12.99,TRUE
NON - VEG APPETIZERS,Karampodi Kodi,,15.99,TRUE
NON - VEG APPETIZERS,KARIVEPAKU CHICKEN,,15.99,TRUE
NON - VEG APPETIZERS,CHICKEN MAJESTIC,,15.99,TRUE
NON - VEG APPETIZERS,APOLLO FISH,,15.99,TRUE
NON - VEG APPETIZERS,CHICKEN 777,,15.99,TRUE
NON - VEG APPETIZERS,MAHARAJA CHICKEN,,15.99,TRUE
KIDS SPECIAL,GEOMETRY DOSA (TRIANGLE SHAPED DOSA),,8.99,TRUE
KIDS SPECIAL,CHOCOLATE DOSA (WITH NUTELLA),,9.99,TRUE
KIDS SPECIAL,FRENCH FRIES,,6.99,TRUE
KIDS SPECIAL,BHUTAN CHICKEN WINGS (NO SPICE),,11.99,TRUE
